date,home_team,away_team,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,result,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away
2006,Italy,Australia,1.51,3.7,7.11,1,0,win,-5.6000000000000005,82.65,82.24,81.65,81.65,72.17,71.56,71.11,69.28,12.0,741.0,48.0,610.0
2014,Italy,Costa Rica,1.56,4.03,6.5,0,1,lose,-4.9399999999999995,82.65,82.24,81.65,81.65,73.0,73.0,73.0,74.0,7.0,1120.0,31.0,743.0
2006,Italy,France,2.51,2.79,3.07,1,1,draw,-0.56,82.65,82.24,81.65,81.65,83.28,83.28,82.56,81.72,12.0,741.0,5.0,768.0
2006,Italy,Ghana,1.5,3.3,6.5,2,0,win,-5.0,82.65,82.24,81.65,81.65,76.0,79.5,74.5,73.5,12.0,741.0,50.0,608.0
2010,Italy,New Zealand,1.21,5.85,15.63,1,1,draw,-14.420000000000002,82.65,82.24,81.65,81.65,65.2,66.47,61.6,63.67,4.0,1209.0,82.0,400.0
2010,Italy,Paraguay,2.13,3.02,3.84,1,1,draw,-1.71,82.65,82.24,81.65,81.65,74.0,75.08,72.85,71.92,4.0,1209.0,29.0,806.0
2006,Italy,Ukraine,1.58,3.38,6.86,3,0,win,-5.28,82.65,82.24,81.65,81.65,75.0,74.67,73.83,69.5,12.0,741.0,40.0,629.0
2014,Italy,Uruguay,2.54,3.46,2.77,0,1,lose,-0.22999999999999998,82.65,82.24,81.65,81.65,78.38,80.69,75.44,77.0,7.0,1120.0,6.0,1132.0
2014,Ivory Coast,Japan,2.7,3.29,2.71,2,1,win,-0.009999999999999787,76.0,77.6,75.8,73.8,76.0,75.0,77.0,76.0,17.0,912.0,47.0,641.0
2010,Ivory Coast,Portugal,3.81,3.15,2.09,0,0,draw,1.7200000000000002,76.0,77.6,75.8,73.8,81.94,82.33,81.44,80.44,16.0,865.0,5.0,1176.0
2006,Ivory Coast,Serbia,2.1,3.2,3.0,3,2,win,-0.8999999999999999,76.0,77.6,75.8,73.8,77.67,78.67,77.33,74.33,42.0,626.0,47.0,612.0
2006,Japan,Brazil,12.0,5.25,1.21,1,4,lose,10.79,76.0,75.0,77.0,76.0,82.67,83.17,81.22,82.22,15.0,714.0,1.0,839.0
2010,Japan,Cameroon,3.61,3.11,2.16,1,0,win,1.4499999999999997,76.0,75.0,77.0,76.0,74.31,74.56,72.81,72.75,43.0,729.0,11.0,914.0
2014,Japan,Colombia,3.44,3.71,2.07,1,4,lose,1.37,76.0,75.0,77.0,76.0,77.9,79.2,77.6,75.9,47.0,641.0,4.0,1200.0
2006,Japan,Croatia,5.0,3.3,1.61,0,0,draw,3.3899999999999997,76.0,75.0,77.0,76.0,78.12,78.5,76.75,74.62,15.0,714.0,20.0,701.0
2014,Japan,Greece,2.37,3.4,3.05,0,0,draw,-0.6799999999999997,76.0,75.0,77.0,76.0,75.12,75.12,74.12,75.12,47.0,641.0,12.0,1055.0
2018,Japan,Poland,2.89,3.1,2.75,0,1,lose,0.14000000000000012,76.0,75.0,77.0,76.0,75.78,77.89,73.39,72.33,57.0,598.0,7.0,1209.0
2018,Japan,Senegal,3.23,2.95,2.61,2,2,draw,0.6200000000000001,76.0,75.0,77.0,76.0,77.0,79.0,76.0,77.0,57.0,598.0,23.0,875.0
2006,Mexico,Angola,1.4,3.5,8.0,0,0,draw,-6.6,76.94,77.28,76.17,75.0,72.0,73.0,71.0,72.0,5.0,767.0,61.0,568.0
2014,Mexico,Cameroon,2.18,3.15,3.75,1,0,win,-1.5699999999999998,76.94,77.28,76.17,75.0,74.31,74.56,72.81,72.75,21.0,892.0,50.0,616.0
2018,Mexico,Sweden,2.23,3.37,3.51,0,3,lose,-1.2799999999999998,76.94,77.28,76.17,75.0,75.76,77.47,74.76,74.18,16.0,1032.0,18.0,1000.0
2010,Mexico,Uruguay,3.72,1.91,3.7,0,1,lose,0.020000000000000018,76.94,77.28,76.17,75.0,78.38,80.69,75.44,77.0,17.0,947.0,20.0,909.0
2018,Morocco,Iran,2.21,2.99,4.19,0,1,lose,-1.9800000000000004,77.0,78.5,72.5,78.5,75.0,81.0,73.0,72.0,40.0,748.0,32.0,797.0
2014,Netherlands,Argentina,3.0,3.22,2.56,0,0,draw,0.43999999999999995,81.0,81.47,80.29,78.88,82.53,84.74,81.05,79.47,9.0,1106.0,3.0,1251.0
2006,Netherlands,Argentina,3.4,3.0,2.0,0,0,draw,1.4,81.0,81.47,80.29,78.88,82.53,84.74,81.05,79.47,3.0,790.0,4.0,772.0
2010,Netherlands,Brazil,4.06,3.27,1.97,2,1,win,2.09,81.0,81.47,80.29,78.88,82.67,83.17,81.22,82.22,3.0,1288.0,2.0,1568.0
2014,Netherlands,Chile,2.65,3.52,2.63,2,0,win,0.020000000000000018,81.0,81.47,80.29,78.88,76.6,77.2,77.0,73.5,9.0,1106.0,15.0,1005.0
2014,Netherlands,Costa Rica,1.52,4.16,7.04,0,0,draw,-5.52,81.0,81.47,80.29,78.88,73.0,73.0,73.0,74.0,9.0,1106.0,31.0,743.0
2010,Netherlands,Denmark,1.51,3.93,7.0,2,0,win,-5.49,81.0,81.47,80.29,78.88,76.78,75.11,77.06,75.5,3.0,1288.0,28.0,827.0
2006,Netherlands,Ivory Coast,1.9,3.1,3.6,2,1,win,-1.7000000000000002,81.0,81.47,80.29,78.88,76.0,77.6,75.8,73.8,3.0,790.0,42.0,626.0
2010,Netherlands,Japan,1.43,4.1,8.4,1,0,win,-6.970000000000001,81.0,81.47,80.29,78.88,76.0,75.0,77.0,76.0,3.0,1288.0,43.0,729.0
2014,Netherlands,Mexico,2.11,3.35,3.72,2,1,win,-1.6100000000000003,81.0,81.47,80.29,78.88,76.94,77.28,76.17,75.0,9.0,1106.0,21.0,892.0
2010,Netherlands,Slovakia,1.39,4.35,9.14,2,1,win,-7.750000000000001,81.0,81.47,80.29,78.88,73.0,68.0,75.0,78.0,3.0,1288.0,33.0,752.0
2010,Netherlands,Spain,3.78,3.33,2.02,0,1,lose,1.7599999999999998,81.0,81.47,80.29,78.88,84.61,83.06,84.44,82.83,3.0,1288.0,1.0,1627.0
2010,New Zealand,Slovakia,7.41,3.91,1.49,1,1,draw,5.92,65.2,66.47,61.6,63.67,73.0,68.0,75.0,78.0,82.0,400.0,33.0,752.0
2018,Nigeria,Argentina,5.87,5.08,1.51,1,2,lose,4.36,77.5,78.5,71.5,75.0,82.53,84.74,81.05,79.47,51.0,651.0,4.0,1348.0
2014,Nigeria,Argentina,9.01,4.09,1.45,2,3,lose,7.56,77.5,78.5,71.5,75.0,82.53,84.74,81.05,79.47,37.0,701.0,3.0,1251.0
2014,Nigeria,Bosnia and Herzegovina,4.23,3.65,1.87,1,0,win,2.3600000000000003,77.5,78.5,71.5,75.0,74.0,77.0,75.0,72.0,37.0,701.0,19.0,899.0
2018,Nigeria,Iceland,3.0,3.07,2.68,2,0,win,0.31999999999999984,77.5,78.5,71.5,75.0,70.67,71.5,71.17,69.33,51.0,651.0,22.0,959.0
2010,Nigeria,South Korea,2.89,3.28,2.44,2,2,draw,0.4500000000000002,77.5,78.5,71.5,75.0,71.5,71.9,70.2,68.8,22.0,956.0,52.0,634.0
2010,North Korea,Ivory Coast,8.81,4.88,1.35,0,3,lose,7.460000000000001,65.0,66.0,64.0,65.0,76.0,77.6,75.8,73.8,86.0,378.0,16.0,865.0
2018,Panama,Tunisia,4.38,3.73,1.86,1,2,lose,2.5199999999999996,68.0,68.0,70.0,68.0,71.0,69.5,70.0,71.0,55.0,636.0,27.0,915.0
2010,Paraguay,Japan,2.17,3.13,3.59,0,0,draw,-1.42,74.0,75.08,72.85,71.92,76.0,75.0,77.0,76.0,29.0,806.0,43.0,729.0
2010,Paraguay,New Zealand,1.39,4.4,8.85,0,0,draw,-7.46,74.0,75.08,72.85,71.92,65.2,66.47,61.6,63.67,29.0,806.0,82.0,400.0
2010,Paraguay,Spain,8.43,4.2,1.42,0,1,lose,7.01,74.0,75.08,72.85,71.92,84.61,83.06,84.44,82.83,29.0,806.0,1.0,1627.0
2006,Paraguay,Trinidad and Tobago,1.8,3.75,3.3,2,0,win,-1.4999999999999998,74.0,75.08,72.85,71.92,61.0,67.0,59.0,57.0,30.0,672.0,50.0,608.0
2018,Peru,Denmark,3.65,3.09,2.34,0,1,lose,1.31,71.6,73.1,70.7,69.5,76.78,75.11,77.06,75.5,11.0,1128.0,12.0,1099.0
2018,Poland,Colombia,3.48,3.45,2.21,0,3,lose,1.27,75.78,77.89,73.39,72.33,77.9,79.2,77.6,75.9,7.0,1209.0,13.0,1078.0
2006,Poland,Ecuador,1.9,3.25,3.75,0,2,lose,-1.85,75.78,77.89,73.39,72.33,71.88,71.56,70.94,68.94,22.0,695.0,37.0,647.0
2018,Poland,Senegal,2.5,3.04,3.34,1,2,lose,-0.8399999999999999,75.78,77.89,73.39,72.33,77.0,79.0,76.0,77.0,7.0,1209.0,23.0,875.0
2010,Portugal,Brazil,3.51,2.93,2.33,0,0,draw,1.1799999999999997,81.94,82.33,81.44,80.44,82.67,83.17,81.22,82.22,5.0,1176.0,2.0,1568.0
2006,Portugal,France,3.82,2.87,2.13,0,1,lose,1.69,81.94,82.33,81.44,80.44,83.28,83.28,82.56,81.72,10.0,753.0,5.0,768.0
2014,Portugal,Ghana,1.78,4.68,3.74,2,1,win,-1.9600000000000002,81.94,82.33,81.44,80.44,76.0,79.5,74.5,73.5,5.0,1172.0,24.0,851.0
2006,Portugal,Iran,1.3,4.0,9.5,2,0,win,-8.2,81.94,82.33,81.44,80.44,75.0,81.0,73.0,72.0,10.0,753.0,19.0,703.0
2006,Portugal,Mexico,2.2,2.62,3.5,2,1,win,-1.2999999999999998,81.94,82.33,81.44,80.44,76.94,77.28,76.17,75.0,10.0,753.0,5.0,767.0
2018,Portugal,Morocco,1.69,3.72,6.11,1,0,win,-4.42,81.94,82.33,81.44,80.44,77.0,78.5,72.5,78.5,3.0,1358.0,40.0,748.0
2006,Portugal,Netherlands,3.1,3.03,2.35,1,0,win,0.75,81.94,82.33,81.44,80.44,81.0,81.47,80.29,78.88,10.0,753.0,3.0,790.0
2010,Portugal,North Korea,1.36,4.44,9.84,7,0,win,-8.48,81.94,82.33,81.44,80.44,65.0,66.0,64.0,65.0,5.0,1176.0,86.0,378.0
2018,Portugal,Spain,4.39,3.23,2.04,3,3,draw,2.3499999999999996,81.94,82.33,81.44,80.44,84.61,83.06,84.44,82.83,3.0,1358.0,6.0,1231.0
2018,Russia,Croatia,4.11,3.16,2.12,2,2,draw,1.9900000000000002,77.53,77.53,76.2,75.4,78.12,78.5,76.75,74.62,64.0,534.0,17.0,1048.0
2018,Russia,Egypt,1.97,3.54,4.26,3,1,win,-2.29,77.53,77.53,76.2,75.4,70.7,71.0,70.6,68.4,64.0,534.0,31.0,814.0
2018,Russia,Saudi Arabia,1.46,4.3,8.99,5,0,win,-7.53,77.53,77.53,76.2,75.4,71.5,72.0,72.0,72.0,64.0,534.0,63.0,522.0
2014,Russia,South Korea,1.81,3.6,4.64,1,1,draw,-2.8299999999999996,77.53,77.53,76.2,75.4,71.5,71.9,70.2,68.8,22.0,870.0,54.0,581.0
2018,Russia,Spain,6.4,4.07,1.59,1,1,draw,4.8100000000000005,77.53,77.53,76.2,75.4,84.61,83.06,84.44,82.83,64.0,534.0,6.0,1231.0
2018,Russia,Uruguay,2.93,3.05,2.76,0,3,lose,0.17000000000000037,77.53,77.53,76.2,75.4,78.38,80.69,75.44,77.0,64.0,534.0,21.0,924.0
2018,Saudi Arabia,Egypt,5.22,3.59,1.78,2,1,win,3.4399999999999995,71.5,72.0,72.0,72.0,70.7,71.0,70.6,68.4,63.0,522.0,31.0,814.0
2006,Saudi Arabia,Spain,16.03,6.71,1.14,0,1,lose,14.89,71.5,72.0,72.0,72.0,84.61,83.06,84.44,82.83,33.0,663.0,5.0,768.0
2006,Saudi Arabia,Ukraine,7.0,3.75,1.4,0,4,lose,5.6,71.5,72.0,72.0,72.0,75.0,74.67,73.83,69.5,33.0,663.0,40.0,629.0
2018,Senegal,Colombia,5.05,3.73,1.77,0,1,lose,3.28,77.0,79.0,76.0,77.0,77.9,79.2,77.6,75.9,23.0,875.0,13.0,1078.0
2018,Serbia,Brazil,7.43,4.58,1.47,0,2,lose,5.96,77.67,78.67,77.33,74.33,82.67,83.17,81.22,82.22,36.0,756.0,2.0,1483.0
2010,Serbia,Ghana,2.03,3.22,3.91,0,1,lose,-1.8800000000000003,77.67,78.67,77.33,74.33,76.0,79.5,74.5,73.5,19.0,916.0,34.0,823.0
2006,Serbia,Netherlands,4.12,3.06,1.89,0,1,lose,2.2300000000000004,77.67,78.67,77.33,74.33,81.0,81.47,80.29,78.88,47.0,612.0,3.0,790.0
2018,Serbia,Switzerland,2.8,3.02,2.94,1,2,lose,-0.14000000000000012,77.67,78.67,77.33,74.33,76.94,74.88,75.81,76.44,36.0,756.0,8.0,1190.0
2010,Slovakia,Italy,6.78,3.82,1.54,3,2,win,5.24,73.0,68.0,75.0,78.0,82.65,82.24,81.65,81.65,33.0,752.0,4.0,1209.0
2010,Slovakia,Paraguay,3.78,3.21,2.05,0,2,lose,1.73,73.0,68.0,75.0,78.0,74.0,75.08,72.85,71.92,33.0,752.0,29.0,806.0
2010,Slovenia,England,7.78,4.17,1.44,0,1,lose,6.34,72.5,71.5,71.56,69.56,82.44,83.5,81.56,81.06,31.0,767.0,9.0,1076.0
2010,Slovenia,United States,3.64,3.18,2.11,2,2,draw,1.5300000000000002,72.5,71.5,71.56,69.56,74.39,74.0,73.67,72.5,31.0,767.0,14.0,963.0
2010,South Africa,France,3.44,3.4,2.1,2,1,win,1.3399999999999999,70.93,69.79,70.29,68.64,83.28,83.28,82.56,81.72,85.0,391.0,7.0,1117.0
2010,South Africa,Mexico,2.87,3.14,2.55,1,1,draw,0.3200000000000003,70.93,69.79,70.29,68.64,76.94,77.28,76.17,75.0,85.0,391.0,17.0,947.0
2010,South Africa,Uruguay,3.22,3.04,2.39,0,3,lose,0.8300000000000001,70.93,69.79,70.29,68.64,78.38,80.69,75.44,77.0,85.0,391.0,20.0,909.0
2014,South Korea,Algeria,2.49,3.29,2.94,2,4,lose,-0.44999999999999973,71.5,71.9,70.2,68.8,77.0,77.0,78.0,76.0,54.0,581.0,26.0,792.0
2014,South Korea,Belgium,4.64,3.55,1.83,0,1,lose,2.8099999999999996,71.5,71.9,70.2,68.8,80.11,79.89,79.11,78.72,54.0,581.0,11.0,1098.0
2018,South Korea,Germany,19.05,8.18,1.17,2,0,win,17.880000000000003,71.5,71.9,70.2,68.8,83.83,82.44,83.11,81.22,60.0,569.0,1.0,1602.0
2010,South Korea,Greece,2.71,3.0,2.82,2,0,win,-0.10999999999999988,71.5,71.9,70.2,68.8,75.12,75.12,74.12,75.12,52.0,634.0,13.0,1030.0
2018,South Korea,Mexico,5.63,3.81,1.7,1,2,lose,3.9299999999999997,71.5,71.9,70.2,68.8,76.94,77.28,76.17,75.0,60.0,569.0,16.0,1032.0
2006,South Korea,Togo,2.04,2.87,3.5,2,1,win,-1.46,71.5,71.9,70.2,68.8,62.0,67.0,65.0,54.0,29.0,680.0,56.0,585.0
2014,Spain,Chile,1.57,4.45,5.52,0,2,lose,-3.9499999999999993,84.61,83.06,84.44,82.83,76.6,77.2,77.0,73.5,1.0,1507.0,15.0,1005.0
2006,Spain,France,2.32,2.99,3.16,1,3,lose,-0.8400000000000003,84.61,83.06,84.44,82.83,83.28,83.28,82.56,81.72,5.0,768.0,5.0,768.0
2010,Spain,Honduras,1.11,8.36,22.57,2,0,win,-21.46,84.61,83.06,84.44,82.83,68.5,68.0,70.0,67.5,1.0,1627.0,37.0,759.0
2018,Spain,Morocco,1.35,5.08,10.24,2,2,draw,-8.89,84.61,83.06,84.44,82.83,77.0,78.5,72.5,78.5,6.0,1231.0,40.0,748.0
2014,Spain,Netherlands,1.83,3.35,5.06,1,5,lose,-3.2299999999999995,84.61,83.06,84.44,82.83,81.0,81.47,80.29,78.88,1.0,1507.0,9.0,1106.0
2010,Spain,Portugal,1.98,3.19,4.16,1,0,win,-2.18,84.61,83.06,84.44,82.83,81.94,82.33,81.44,80.44,1.0,1627.0,5.0,1176.0
2010,Spain,Switzerland,1.27,5.16,13.02,0,1,lose,-11.75,84.61,83.06,84.44,82.83,76.94,74.88,75.81,76.44,1.0,1627.0,18.0,924.0
2006,Spain,Tunisia,1.3,4.0,9.5,3,1,win,-8.2,84.61,83.06,84.44,82.83,71.0,69.5,70.0,71.0,5.0,768.0,28.0,685.0
2006,Spain,Ukraine,1.8,3.0,4.33,4,0,win,-2.5300000000000002,84.61,83.06,84.44,82.83,75.0,74.67,73.83,69.5,5.0,768.0,40.0,629.0
2018,Sweden,England,5.19,3.36,1.85,0,2,lose,3.3400000000000003,75.76,77.47,74.76,74.18,82.44,83.5,81.56,81.06,18.0,1000.0,15.0,1047.0
2006,Sweden,England,3.1,2.62,2.37,2,2,draw,0.73,75.76,77.47,74.76,74.18,82.44,83.5,81.56,81.06,14.0,731.0,9.0,757.0
2006,Sweden,Paraguay,1.9,3.1,3.6,1,0,win,-1.7000000000000002,75.76,77.47,74.76,74.18,74.0,75.08,72.85,71.92,14.0,731.0,30.0,672.0
2018,Sweden,South Korea,2.25,3.05,3.91,1,0,win,-1.6600000000000001,75.76,77.47,74.76,74.18,71.5,71.9,70.2,68.8,18.0,1000.0,60.0,569.0
2018,Sweden,Switzerland,3.37,2.95,2.54,1,0,win,0.8300000000000001,75.76,77.47,74.76,74.18,76.94,74.88,75.81,76.44,18.0,1000.0,8.0,1190.0
2018,Switzerland,Costa Rica,1.59,3.68,7.53,2,2,draw,-5.94,76.94,74.88,75.81,76.44,73.0,73.0,73.0,74.0,8.0,1190.0,26.0,831.0
2014,Switzerland,Ecuador,2.41,3.19,3.16,2,1,win,-0.75,76.94,74.88,75.81,76.44,71.88,71.56,70.94,68.94,8.0,1113.0,23.0,852.0
2014,Switzerland,France,4.46,3.51,1.87,2,5,lose,2.59,76.94,74.88,75.81,76.44,83.28,83.28,82.56,81.72,8.0,1113.0,20.0,893.0
2010,Switzerland,Honduras,1.52,4.0,6.64,0,0,draw,-5.119999999999999,76.94,74.88,75.81,76.44,68.5,68.0,70.0,67.5,18.0,924.0,37.0,759.0
2006,Switzerland,South Korea,1.99,2.83,4.41,2,0,win,-2.42,76.94,74.88,75.81,76.44,71.5,71.9,70.2,68.8,35.0,655.0,29.0,680.0
2006,Switzerland,Ukraine,2.41,3.02,3.08,0,0,draw,-0.6699999999999999,76.94,74.88,75.81,76.44,75.0,74.67,73.83,69.5,35.0,655.0,40.0,629.0
2006,Togo,France,14.43,6.91,1.14,0,2,lose,13.29,62.0,67.0,65.0,54.0,83.28,83.28,82.56,81.72,56.0,585.0,5.0,768.0
2006,Togo,Switzerland,6.5,3.6,1.44,0,2,lose,5.0600000000000005,62.0,67.0,65.0,54.0,76.94,74.88,75.81,76.44,56.0,585.0,35.0,655.0
2018,Tunisia,England,8.73,4.26,1.48,1,2,lose,7.25,71.0,69.5,70.0,71.0,82.44,83.5,81.56,81.06,27.0,915.0,15.0,1047.0
2006,Ukraine,Tunisia,1.59,3.58,6.2,1,0,win,-4.61,75.0,74.67,73.83,69.5,71.0,69.5,70.0,71.0,40.0,629.0,28.0,685.0
2010,United States,Algeria,1.87,3.55,4.1,1,0,win,-2.2299999999999995,74.39,74.0,73.67,72.5,77.0,77.0,78.0,76.0,14.0,963.0,26.0,784.0
2014,United States,Germany,8.13,3.07,1.68,0,1,lose,6.450000000000001,74.39,74.0,73.67,72.5,83.83,82.44,83.11,81.22,14.0,1019.0,2.0,1318.0
2010,United States,Ghana,2.42,3.06,3.13,1,2,lose,-0.71,74.39,74.0,73.67,72.5,76.0,79.5,74.5,73.5,14.0,963.0,34.0,823.0
2014,United States,Portugal,4.42,4.09,1.75,2,2,draw,2.67,74.39,74.0,73.67,72.5,81.94,82.33,81.44,80.44,14.0,1019.0,5.0,1172.0
2014,Uruguay,Costa Rica,1.43,4.31,8.8,1,3,lose,-7.370000000000001,78.38,80.69,75.44,77.0,73.0,73.0,73.0,74.0,6.0,1132.0,31.0,743.0
2014,Uruguay,England,3.76,3.76,1.95,2,1,win,1.8099999999999998,78.38,80.69,75.44,77.0,82.44,83.5,81.56,81.06,6.0,1132.0,13.0,1041.0
2018,Uruguay,France,4.69,3.1,2.02,0,2,lose,2.6700000000000004,78.38,80.69,75.44,77.0,83.28,83.28,82.56,81.72,21.0,924.0,9.0,1183.0
2010,Uruguay,France,3.56,3.13,2.17,0,0,draw,1.3900000000000001,78.38,80.69,75.44,77.0,83.28,83.28,82.56,81.72,20.0,909.0,7.0,1117.0
2010,Uruguay,Germany,3.92,3.64,1.89,2,3,lose,2.0300000000000002,78.38,80.69,75.44,77.0,83.83,82.44,83.11,81.22,20.0,909.0,6.0,1173.0
2010,Uruguay,Ghana,1.88,3.27,4.35,1,1,draw,-2.4699999999999998,78.38,80.69,75.44,77.0,76.0,79.5,74.5,73.5,20.0,909.0,34.0,823.0
2010,Uruguay,Netherlands,5.52,3.52,1.67,2,3,lose,3.8499999999999996,78.38,80.69,75.44,77.0,81.0,81.47,80.29,78.88,20.0,909.0,3.0,1288.0
2018,Uruguay,Portugal,3.03,3.0,2.75,2,1,win,0.2799999999999998,78.38,80.69,75.44,77.0,81.94,82.33,81.44,80.44,21.0,924.0,3.0,1358.0
2018,Uruguay,Saudi Arabia,1.21,6.75,18.4,1,0,win,-17.189999999999998,78.38,80.69,75.44,77.0,71.5,72.0,72.0,72.0,21.0,924.0,63.0,522.0
2010,Uruguay,South Korea,1.85,3.27,4.7,2,1,win,-2.85,78.38,80.69,75.44,77.0,71.5,71.9,70.2,68.8,20.0,909.0,52.0,634.0
