date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2014,Algeria,Russia,draw,3.65,3.65,2.02,1,1,1.63,77.0,77.0,78.0,76.0,77.53,77.53,76.2,75.4,26.0,792.0,22.0,870.0,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,0
2018,Argentina,Iceland,draw,1.33,5.27,11.32,1,1,-9.99,82.53,84.74,81.05,79.47,70.67,71.5,71.17,69.33,4.0,1348.0,22.0,959.0,11.86,13.239999999999995,9.879999999999997,10.14,-18.0,389.0,0
2014,Brazil,Chile,draw,1.53,4.42,6.17,1,1,-4.64,82.67,83.17,81.22,82.22,76.6,77.2,77.0,73.5,10.0,1102.0,15.0,1005.0,6.070000000000008,5.969999999999999,4.219999999999999,8.719999999999999,-5.0,97.0,0
2014,Brazil,Mexico,draw,1.33,5.33,9.34,0,0,-8.01,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,10.0,1102.0,21.0,892.0,5.730000000000004,5.8900000000000015,5.049999999999997,7.219999999999999,-11.0,210.0,0
2018,Brazil,Switzerland,draw,1.47,4.38,8.28,1,1,-6.81,82.67,83.17,81.22,82.22,76.94,74.88,75.81,76.44,2.0,1483.0,8.0,1190.0,5.730000000000004,8.290000000000006,5.4099999999999975,5.780000000000001,-6.0,293.0,0
2018,Colombia,England,draw,4.05,3.12,2.16,1,1,1.89,77.9,79.2,77.6,75.9,82.44,83.5,81.56,81.06,13.0,1078.0,15.0,1047.0,-4.539999999999992,-4.299999999999997,-3.9600000000000084,-5.159999999999997,-2.0,31.0,0
2014,Costa Rica,England,draw,4.3,3.94,1.79,0,0,2.51,73.0,73.0,73.0,74.0,82.44,83.5,81.56,81.06,31.0,743.0,13.0,1041.0,-9.439999999999998,-10.5,-8.560000000000002,-7.060000000000002,18.0,-298.0,0
2014,Costa Rica,Greece,draw,2.65,3.07,2.97,1,1,-0.3200000000000003,73.0,73.0,73.0,74.0,75.12,75.12,74.12,75.12,31.0,743.0,12.0,1055.0,-2.1200000000000045,-2.1200000000000045,-1.1200000000000043,-1.1200000000000043,19.0,-312.0,0
2006,Croatia,Australia,draw,2.23,3.2,2.95,2,2,-0.7200000000000002,78.12,78.5,76.75,74.62,72.17,71.56,71.11,69.28,20.0,701.0,48.0,610.0,5.950000000000002,6.939999999999998,5.6400000000000015,5.340000000000003,-28.0,91.0,0
2018,Croatia,Denmark,draw,1.96,3.24,4.78,1,1,-2.8200000000000003,78.12,78.5,76.75,74.62,76.78,75.11,77.06,75.5,17.0,1048.0,12.0,1099.0,1.3400000000000034,3.390000000000001,-0.3100000000000023,-0.8799999999999955,5.0,-51.0,0
2018,Denmark,Australia,draw,1.93,3.4,4.58,1,1,-2.6500000000000004,76.78,75.11,77.06,75.5,72.17,71.56,71.11,69.28,12.0,1099.0,38.0,763.0,4.6099999999999985,3.549999999999997,5.950000000000002,6.219999999999999,-26.0,336.0,0
2018,Denmark,France,draw,5.37,2.74,2.08,0,0,3.29,76.78,75.11,77.06,75.5,83.28,83.28,82.56,81.72,12.0,1099.0,9.0,1183.0,-6.5,-8.170000000000002,-5.5,-6.219999999999999,3.0,-84.0,0
2014,Ecuador,France,draw,5.42,4.12,1.62,0,0,3.8,71.88,71.56,70.94,68.94,83.28,83.28,82.56,81.72,23.0,852.0,20.0,893.0,-11.400000000000004,-11.72,-11.620000000000005,-12.78,3.0,-41.0,0
2010,England,Algeria,draw,1.23,5.52,14.9,0,0,-13.67,82.44,83.5,81.56,81.06,77.0,77.0,78.0,76.0,9.0,1076.0,26.0,784.0,5.439999999999998,6.5,3.5600000000000023,5.060000000000001,-17.0,292.0,0
2006,England,Portugal,draw,2.11,2.97,3.7,0,0,-1.5900000000000003,82.44,83.5,81.56,81.06,81.94,82.33,81.44,80.44,9.0,757.0,10.0,753.0,0.5,1.1700000000000017,0.12000000000000455,0.6200000000000045,-1.0,4.0,0
2010,England,United States,draw,1.5,4.04,6.87,1,1,-5.37,82.44,83.5,81.56,81.06,74.39,74.0,73.67,72.5,9.0,1076.0,14.0,963.0,8.049999999999997,9.5,7.8900000000000015,8.560000000000002,-5.0,113.0,0
2006,France,South Korea,draw,1.44,3.5,7.0,1,1,-5.5600000000000005,83.28,83.28,82.56,81.72,71.5,71.9,70.2,68.8,5.0,768.0,29.0,680.0,11.78,11.379999999999995,12.36,12.920000000000002,-24.0,88.0,0
2006,France,Switzerland,draw,1.65,3.25,5.4,0,0,-3.75,83.28,83.28,82.56,81.72,76.94,74.88,75.81,76.44,5.0,768.0,35.0,655.0,6.3400000000000025,8.400000000000006,6.75,5.280000000000001,-30.0,113.0,0
2006,Germany,Argentina,draw,2.53,3.0,2.87,1,1,-0.3400000000000003,83.83,82.44,83.11,81.22,82.53,84.74,81.05,79.47,16.0,707.0,4.0,772.0,1.2999999999999972,-2.299999999999997,2.0600000000000023,1.75,12.0,-65.0,0
2014,Germany,Ghana,draw,1.32,5.61,9.14,2,2,-7.82,83.83,82.44,83.11,81.22,76.0,79.5,74.5,73.5,2.0,1318.0,24.0,851.0,7.829999999999997,2.9399999999999977,8.61,7.719999999999999,-22.0,467.0,0
2010,Ghana,Australia,draw,2.3,3.14,3.23,1,1,-0.9300000000000002,76.0,79.5,74.5,73.5,72.17,71.56,71.11,69.28,34.0,823.0,21.0,857.0,3.8299999999999983,7.939999999999998,3.390000000000001,4.219999999999999,13.0,-34.0,0
2006,Iran,Angola,draw,2.4,3.1,2.6,1,1,-0.20000000000000015,75.0,81.0,73.0,72.0,72.0,73.0,71.0,72.0,19.0,703.0,61.0,568.0,3.0,8.0,2.0,0.0,-42.0,135.0,0
2014,Iran,Nigeria,draw,4.79,3.5,1.82,0,0,2.97,75.0,81.0,73.0,72.0,77.5,78.5,71.5,75.0,33.0,727.0,37.0,701.0,-2.5,2.5,1.5,-3.0,-4.0,26.0,0
2018,Iran,Portugal,draw,6.23,4.06,1.6,1,1,4.630000000000001,75.0,81.0,73.0,72.0,81.94,82.33,81.44,80.44,32.0,797.0,3.0,1358.0,-6.939999999999998,-1.3299999999999983,-8.439999999999998,-8.439999999999998,29.0,-561.0,0
2006,Italy,France,draw,2.51,2.79,3.07,1,1,-0.56,82.65,82.24,81.65,81.65,83.28,83.28,82.56,81.72,12.0,741.0,5.0,768.0,-0.6299999999999955,-1.0400000000000065,-0.9099999999999966,-0.06999999999999318,7.0,-27.0,0
2010,Italy,New Zealand,draw,1.21,5.85,15.63,1,1,-14.420000000000002,82.65,82.24,81.65,81.65,65.2,66.47,61.6,63.67,4.0,1209.0,82.0,400.0,17.450000000000006,15.769999999999996,20.050000000000004,17.980000000000004,-78.0,809.0,0
2010,Italy,Paraguay,draw,2.13,3.02,3.84,1,1,-1.71,82.65,82.24,81.65,81.65,74.0,75.08,72.85,71.92,4.0,1209.0,29.0,806.0,8.650000000000006,7.1599999999999975,8.800000000000011,9.730000000000004,-25.0,403.0,0
2010,Ivory Coast,Portugal,draw,3.81,3.15,2.09,0,0,1.7200000000000002,76.0,77.6,75.8,73.8,81.94,82.33,81.44,80.44,16.0,865.0,5.0,1176.0,-5.939999999999998,-4.730000000000004,-5.6400000000000015,-6.6400000000000015,11.0,-311.0,0
2006,Japan,Croatia,draw,5.0,3.3,1.61,0,0,3.39,76.0,75.0,77.0,76.0,78.12,78.5,76.75,74.62,15.0,714.0,20.0,701.0,-2.1200000000000045,-3.5,0.25,1.3799999999999957,-5.0,13.0,0
2014,Japan,Greece,draw,2.37,3.4,3.05,0,0,-0.6799999999999997,76.0,75.0,77.0,76.0,75.12,75.12,74.12,75.12,47.0,641.0,12.0,1055.0,0.8799999999999955,-0.12000000000000455,2.8799999999999955,0.8799999999999955,35.0,-414.0,0
2018,Japan,Senegal,draw,3.23,2.95,2.61,2,2,0.6200000000000001,76.0,75.0,77.0,76.0,77.0,79.0,76.0,77.0,57.0,598.0,23.0,875.0,-1.0,-4.0,1.0,-1.0,34.0,-277.0,0
2006,Mexico,Angola,draw,1.4,3.5,8.0,0,0,-6.6,76.94,77.28,76.17,75.0,72.0,73.0,71.0,72.0,5.0,767.0,61.0,568.0,4.939999999999999,4.280000000000001,5.170000000000002,3.0,-56.0,199.0,0
2014,Netherlands,Argentina,draw,3.0,3.22,2.56,0,0,0.44,81.0,81.47,80.29,78.88,82.53,84.74,81.05,79.47,9.0,1106.0,3.0,1251.0,-1.5300000000000011,-3.269999999999996,-0.7599999999999909,-0.5900000000000034,6.0,-145.0,0
2006,Netherlands,Argentina,draw,3.4,3.0,2.0,0,0,1.4,81.0,81.47,80.29,78.88,82.53,84.74,81.05,79.47,3.0,790.0,4.0,772.0,-1.5300000000000011,-3.269999999999996,-0.7599999999999909,-0.5900000000000034,-1.0,18.0,0
2014,Netherlands,Costa Rica,draw,1.52,4.16,7.04,0,0,-5.52,81.0,81.47,80.29,78.88,73.0,73.0,73.0,74.0,9.0,1106.0,31.0,743.0,8.0,8.469999999999999,7.290000000000006,4.879999999999996,-22.0,363.0,0
2010,New Zealand,Slovakia,draw,7.41,3.91,1.49,1,1,5.92,65.2,66.47,61.6,63.67,73.0,68.0,75.0,78.0,82.0,400.0,33.0,752.0,-7.799999999999998,-1.5300000000000011,-13.4,-14.329999999999998,49.0,-352.0,0
2010,Nigeria,South Korea,draw,2.89,3.28,2.44,2,2,0.4500000000000002,77.5,78.5,71.5,75.0,71.5,71.9,70.2,68.8,22.0,956.0,52.0,634.0,6.0,6.599999999999994,1.2999999999999972,6.200000000000002,-30.0,322.0,0
2010,Paraguay,Japan,draw,2.17,3.13,3.59,0,0,-1.42,74.0,75.08,72.85,71.92,76.0,75.0,77.0,76.0,29.0,806.0,43.0,729.0,-2.0,0.0799999999999983,-4.150000000000007,-4.079999999999998,-14.0,77.0,0
2010,Paraguay,New Zealand,draw,1.39,4.4,8.85,0,0,-7.46,74.0,75.08,72.85,71.92,65.2,66.47,61.6,63.67,29.0,806.0,82.0,400.0,8.799999999999997,8.61,11.249999999999993,8.25,-53.0,406.0,0
2010,Portugal,Brazil,draw,3.51,2.93,2.33,0,0,1.1799999999999995,81.94,82.33,81.44,80.44,82.67,83.17,81.22,82.22,5.0,1176.0,2.0,1568.0,-0.730000000000004,-0.8400000000000034,0.21999999999999886,-1.7800000000000011,3.0,-392.0,0
2018,Portugal,Spain,draw,4.39,3.23,2.04,3,3,2.35,81.94,82.33,81.44,80.44,84.61,83.06,84.44,82.83,3.0,1358.0,6.0,1231.0,-2.6700000000000017,-0.730000000000004,-3.0,-2.390000000000001,-3.0,127.0,0
2018,Russia,Croatia,draw,4.11,3.16,2.12,2,2,1.99,77.53,77.53,76.2,75.4,78.12,78.5,76.75,74.62,64.0,534.0,17.0,1048.0,-0.5900000000000034,-0.9699999999999988,-0.5499999999999972,0.7800000000000011,47.0,-514.0,0
2014,Russia,South Korea,draw,1.81,3.6,4.64,1,1,-2.83,77.53,77.53,76.2,75.4,71.5,71.9,70.2,68.8,22.0,870.0,54.0,581.0,6.030000000000001,5.629999999999996,6.0,6.6000000000000085,-32.0,289.0,0
2018,Russia,Spain,draw,6.4,4.07,1.59,1,1,4.8100000000000005,77.53,77.53,76.2,75.4,84.61,83.06,84.44,82.83,64.0,534.0,6.0,1231.0,-7.079999999999997,-5.530000000000001,-8.239999999999995,-7.429999999999992,58.0,-697.0,0
2010,Slovenia,United States,draw,3.64,3.18,2.11,2,2,1.5300000000000002,72.5,71.5,71.56,69.56,74.39,74.0,73.67,72.5,31.0,767.0,14.0,963.0,-1.8900000000000008,-2.5,-2.1099999999999994,-2.9399999999999977,17.0,-196.0,0
2010,South Africa,Mexico,draw,2.87,3.14,2.55,1,1,0.3200000000000003,70.93,69.79,70.29,68.64,76.94,77.28,76.17,75.0,85.0,391.0,17.0,947.0,-6.009999999999992,-7.489999999999995,-5.879999999999996,-6.3599999999999985,68.0,-556.0,0
2018,Spain,Morocco,draw,1.35,5.08,10.24,2,2,-8.89,84.61,83.06,84.44,82.83,77.0,78.5,72.5,78.5,6.0,1231.0,40.0,748.0,7.6099999999999985,4.560000000000001,11.939999999999998,4.329999999999998,-34.0,483.0,0
2006,Sweden,England,draw,3.1,2.62,2.37,2,2,0.73,75.76,77.47,74.76,74.18,82.44,83.5,81.56,81.06,14.0,731.0,9.0,757.0,-6.679999999999992,-6.030000000000001,-6.799999999999998,-6.879999999999996,5.0,-26.0,0
2018,Switzerland,Costa Rica,draw,1.59,3.68,7.53,2,2,-5.94,76.94,74.88,75.81,76.44,73.0,73.0,73.0,74.0,8.0,1190.0,26.0,831.0,3.9399999999999977,1.8799999999999957,2.8100000000000023,2.4399999999999977,-18.0,359.0,0
2010,Switzerland,Honduras,draw,1.52,4.0,6.64,0,0,-5.119999999999999,76.94,74.88,75.81,76.44,68.5,68.0,70.0,67.5,18.0,924.0,37.0,759.0,8.439999999999998,6.879999999999996,5.810000000000002,8.939999999999998,-19.0,165.0,0
2006,Switzerland,Ukraine,draw,2.41,3.02,3.08,0,0,-0.6699999999999999,76.94,74.88,75.81,76.44,75.0,74.67,73.83,69.5,35.0,655.0,40.0,629.0,1.9399999999999975,0.20999999999999372,1.9800000000000042,6.939999999999998,-5.0,26.0,0
2014,United States,Portugal,draw,4.42,4.09,1.75,2,2,2.67,74.39,74.0,73.67,72.5,81.94,82.33,81.44,80.44,14.0,1019.0,5.0,1172.0,-7.549999999999998,-8.329999999999998,-7.769999999999996,-7.939999999999998,9.0,-153.0,0
2010,Uruguay,France,draw,3.56,3.13,2.17,0,0,1.39,78.38,80.69,75.44,77.0,83.28,83.28,82.56,81.72,20.0,909.0,7.0,1117.0,-4.900000000000006,-2.5900000000000034,-7.1200000000000045,-4.719999999999999,13.0,-208.0,0
2010,Uruguay,Ghana,draw,1.88,3.27,4.35,1,1,-2.47,78.38,80.69,75.44,77.0,76.0,79.5,74.5,73.5,20.0,909.0,34.0,823.0,2.3799999999999955,1.1899999999999975,0.9399999999999976,3.5,-14.0,86.0,0
2010,Germany,England,win,2.89,3.03,2.61,4,1,0.28000000000000025,83.83,82.44,83.11,81.22,82.44,83.5,81.56,81.06,6.0,1173.0,9.0,1076.0,1.3900000000000006,-1.0600000000000025,1.5499999999999972,0.1599999999999966,-3.0,97.0,3
2014,Germany,Portugal,win,2.05,3.53,3.71,4,0,-1.66,83.83,82.44,83.11,81.22,81.94,82.33,81.44,80.44,2.0,1318.0,5.0,1172.0,1.8900000000000008,0.10999999999999943,1.6700000000000017,0.7800000000000011,-3.0,146.0,4
2006,Germany,Portugal,win,1.85,3.3,4.29,3,1,-2.44,83.83,82.44,83.11,81.22,81.94,82.33,81.44,80.44,16.0,707.0,10.0,753.0,1.8900000000000008,0.10999999999999943,1.6700000000000017,0.7800000000000011,6.0,-46.0,2
2018,Germany,Sweden,win,1.46,4.63,7.64,2,1,-6.18,83.83,82.44,83.11,81.22,75.76,77.47,74.76,74.18,1.0,1602.0,18.0,1000.0,8.069999999999991,4.969999999999999,8.349999999999994,7.039999999999992,-17.0,602.0,1
2006,Germany,Sweden,win,1.63,3.46,5.63,2,0,-4.0,83.83,82.44,83.11,81.22,75.76,77.47,74.76,74.18,16.0,707.0,14.0,731.0,8.069999999999991,4.969999999999999,8.349999999999994,7.039999999999992,2.0,-24.0,2
2006,Ghana,United States,win,2.2,3.25,2.75,2,1,-0.5499999999999998,76.0,79.5,74.5,73.5,74.39,74.0,73.67,72.5,50.0,608.0,8.0,767.0,1.6099999999999994,5.5,0.8299999999999983,1.0,42.0,-159.0,1
2014,Greece,Ivory Coast,win,3.97,3.57,1.96,2,1,2.01,75.12,75.12,74.12,75.12,76.0,77.6,75.8,73.8,12.0,1055.0,17.0,912.0,-0.8799999999999955,-2.4799999999999898,-1.6799999999999926,1.3200000000000074,-5.0,143.0,1
2010,Greece,Nigeria,win,3.77,3.18,2.07,2,1,1.7000000000000002,75.12,75.12,74.12,75.12,77.5,78.5,71.5,75.0,13.0,1030.0,22.0,956.0,-2.3799999999999955,-3.3799999999999955,2.6200000000000045,0.12000000000000455,-9.0,74.0,1
2006,Italy,Australia,win,1.51,3.7,7.11,1,0,-5.6000000000000005,82.65,82.24,81.65,81.65,72.17,71.56,71.11,69.28,12.0,741.0,48.0,610.0,10.480000000000004,10.67999999999999,10.540000000000006,12.370000000000005,-36.0,131.0,1
2006,Italy,Ghana,win,1.5,3.3,6.5,2,0,-5.0,82.65,82.24,81.65,81.65,76.0,79.5,74.5,73.5,12.0,741.0,50.0,608.0,6.650000000000006,2.7399999999999953,7.150000000000006,8.150000000000006,-38.0,133.0,2
2006,Italy,Ukraine,win,1.58,3.38,6.86,3,0,-5.28,82.65,82.24,81.65,81.65,75.0,74.67,73.83,69.5,12.0,741.0,40.0,629.0,7.650000000000006,7.569999999999991,7.820000000000008,12.150000000000004,-28.0,112.0,3
2014,Ivory Coast,Japan,win,2.7,3.29,2.71,2,1,-0.009999999999999787,76.0,77.6,75.8,73.8,76.0,75.0,77.0,76.0,17.0,912.0,47.0,641.0,0.0,2.5999999999999943,-1.2000000000000028,-2.200000000000003,-30.0,271.0,1
2006,Ivory Coast,Serbia,win,2.1,3.2,3.0,3,2,-0.8999999999999999,76.0,77.6,75.8,73.8,77.67,78.67,77.33,74.33,42.0,626.0,47.0,612.0,-1.6700000000000017,-1.0700000000000074,-1.5300000000000011,-0.5300000000000011,-5.0,14.0,1
2010,Japan,Cameroon,win,3.61,3.11,2.16,1,0,1.4499999999999995,76.0,75.0,77.0,76.0,74.31,74.56,72.81,72.75,43.0,729.0,11.0,914.0,1.6899999999999975,0.4399999999999977,4.189999999999999,3.25,32.0,-185.0,1
2014,Mexico,Cameroon,win,2.18,3.15,3.75,1,0,-1.5699999999999998,76.94,77.28,76.17,75.0,74.31,74.56,72.81,72.75,21.0,892.0,50.0,616.0,2.6299999999999955,2.719999999999999,3.3599999999999994,2.25,-29.0,276.0,1
2010,Netherlands,Brazil,win,4.06,3.27,1.97,2,1,2.09,81.0,81.47,80.29,78.88,82.67,83.17,81.22,82.22,3.0,1288.0,2.0,1568.0,-1.6700000000000017,-1.7000000000000028,-0.9299999999999926,-3.3400000000000034,1.0,-280.0,1
2014,Netherlands,Chile,win,2.65,3.52,2.63,2,0,0.020000000000000014,81.0,81.47,80.29,78.88,76.6,77.2,77.0,73.5,9.0,1106.0,15.0,1005.0,4.400000000000006,4.269999999999996,3.2900000000000063,5.379999999999996,-6.0,101.0,2
2010,Netherlands,Denmark,win,1.51,3.93,7.0,2,0,-5.49,81.0,81.47,80.29,78.88,76.78,75.11,77.06,75.5,3.0,1288.0,28.0,827.0,4.219999999999999,6.3599999999999985,3.230000000000004,3.3799999999999955,-25.0,461.0,2
2006,Netherlands,Ivory Coast,win,1.9,3.1,3.6,2,1,-1.7000000000000002,81.0,81.47,80.29,78.88,76.0,77.6,75.8,73.8,3.0,790.0,42.0,626.0,5.0,3.870000000000005,4.490000000000009,5.079999999999998,-39.0,164.0,1
2010,Netherlands,Japan,win,1.43,4.1,8.4,1,0,-6.9700000000000015,81.0,81.47,80.29,78.88,76.0,75.0,77.0,76.0,3.0,1288.0,43.0,729.0,5.0,6.469999999999999,3.2900000000000063,2.8799999999999955,-40.0,559.0,1
2014,Netherlands,Mexico,win,2.11,3.35,3.72,2,1,-1.6100000000000003,81.0,81.47,80.29,78.88,76.94,77.28,76.17,75.0,9.0,1106.0,21.0,892.0,4.060000000000001,4.189999999999999,4.1200000000000045,3.879999999999996,-12.0,214.0,1
2010,Netherlands,Slovakia,win,1.39,4.35,9.14,2,1,-7.750000000000001,81.0,81.47,80.29,78.88,73.0,68.0,75.0,78.0,3.0,1288.0,33.0,752.0,8.0,13.47,5.290000000000006,0.8799999999999955,-30.0,536.0,1
2014,Nigeria,Bosnia and Herzegovina,win,4.23,3.65,1.87,1,0,2.3600000000000003,77.5,78.5,71.5,75.0,74.0,77.0,75.0,72.0,37.0,701.0,19.0,899.0,3.5,1.5,-3.5,3.0,18.0,-198.0,1
2018,Nigeria,Iceland,win,3.0,3.07,2.68,2,0,0.31999999999999984,77.5,78.5,71.5,75.0,70.67,71.5,71.17,69.33,51.0,651.0,22.0,959.0,6.829999999999997,7.0,0.3299999999999983,5.670000000000003,29.0,-308.0,2
2006,Paraguay,Trinidad and Tobago,win,1.8,3.75,3.3,2,0,-1.4999999999999998,74.0,75.08,72.85,71.92,61.0,67.0,59.0,57.0,30.0,672.0,50.0,608.0,13.0,8.079999999999998,13.849999999999996,14.920000000000002,-20.0,64.0,2
2014,Portugal,Ghana,win,1.78,4.68,3.74,2,1,-1.96,81.94,82.33,81.44,80.44,76.0,79.5,74.5,73.5,5.0,1172.0,24.0,851.0,5.939999999999998,2.8299999999999983,6.939999999999998,6.939999999999998,-19.0,321.0,1
